ID_Transaction,Date,Produit,Catégorie,Quantité,Prix_Unitaire,Revenu_Total,Région,Client_ID
58,2024-03-08,Dictionnaire de poche,Livres,15,18.00,270.00,Ouest,108
59,2024-03-09,Robot Aspirateur,Maison,1,350.00,350.00,Nord,109
60,2024-03-10,Machine à café Nespresso,Maison,2,120.00,240.00,Sud,110
61,2024-03-11,Grille-pain,Maison,7,30.00,210.00,Est,111
62,2024-03-12,Bouilloire Électrique,Maison,8,25.00,200.00,Ouest,112
63,2024-03-13,Sweatshirt,Vêtements,25,45.00,1125.00,Nord,113
64,2024-03-14,Short,Vêtements,30,20.00,600.00,Sud,114
65,2024-03-15,Chaussettes,Vêtements,100,5.00,500.00,Est,115
66,2024-03-16,Blouson,Vêtements,5,90.00,450.00,Ouest,116
67,2024-03-17,Céréales Bio,Alimentation,70,3.50,245.00,Nord,117
68,2024-03-18,Yaourt Nature,Alimentation,120,1.00,120.00,Sud,118
69,2024-03-19,Pâtes,Alimentation,80,1.80,144.00,Est,119
70,2024-03-20,Riz,Alimentation,90,2.20,198.00,Ouest,120
71,2024-03-21,Barre Protéinée,Sport,30,2.50,75.00,Nord,121
72,2024-03-22,Shaker,Sport,20,8.00,160.00,Sud,122
73,2024-03-23,Haltères,Sport,2,50.00,100.00,Est,123
74,2024-03-24,Tapis de course,Sport,1,800.00,800.00,Ouest,124
75,2024-04-01,Carte Graphique,Électronique,2,600.00,1200.00,Nord,125
76,2024-04-02,Processeur,Électronique,3,350.00,1050.00,Sud,126
77,2024-04-03,RAM,Électronique,5,80.00,400.00,Est,127
78,2024-04-04,SSD,Électronique,4,120.00,480.00,Ouest,128
79,2024-04-05,Alimentation PC,Électronique,6,70.00,420.00,Nord,129
80,2024-04-06,Boîtier PC,Électronique,3,90.00,270.00,Sud,130
81,2024-04-07,BD,Livres,40,15.00,600.00,Est,131
82,2024-04-08,Magazine,Livres,60,5.00,300.00,Ouest,132
83,2024-04-09,Encyclopédie,Livres,2,100.00,200.00,Nord,133
84,2024-04-10,Planche à découper,Maison,15,10.00,150.00,Sud,134
85,2024-04-11,Couteau de cuisine,Maison,10,20.00,200.00,Est,135
86,2024-04-12,Poêle,Maison,5,40.00,200.00,Ouest,136
87,2024-04-13,Casserole,Maison,7,30.00,210.00,Nord,137
88,2024-04-14,Torchons,Maison,20,5.00,100.00,Sud,138
89,2024-04-15,Veste,Vêtements,10,70.00,700.00,Est,139
90,2024-04-16,Echarpe,Vêtements,20,20.00,400.00,Ouest,140
91,2024-04-17,Gants,Vêtements,30,15.00,450.00,Nord,141
92,2024-04-18,Bonnet,Vêtements,25,10.00,250.00,Sud,142
93,2024-04-19,Jambon,Alimentation,50,5.00,250.00,Est,143
94,2024-04-20,Fromage,Alimentation,40,6.00,240.00,Ouest,144
95,2024-04-21,Oeufs,Alimentation,80,3.00,240.00,Nord,145
96,2024-04-22,Pommes,Alimentation,100,2.00,200.00,Sud,146
97,2024-04-23,Bananes,Alimentation,90,1.80,162.00,Est,147
98,2024-04-24,Poires,Alimentation,70,2.50,175.00,Ouest,148
99,2024-04-25,Orange,Alimentation,110,2.00,220.00,Nord,149
100,2024-04-26,Raisins,Alimentation,60,3.00,180.00,Sud,150
